seed,episode_id,scenario,task,entity,policy_profile,private_branch,label_derived_after_capture
0,0,AUTHORIZATION,SEND_MESSAGE,60,0,0,True
0,1,AUTHORIZATION,SEND_MESSAGE,60,0,1,True
0,2,AUTHORIZATION,SEND_MESSAGE,9,2,0,True
0,3,AUTHORIZATION,SEND_MESSAGE,9,2,1,True
0,4,AUTHORIZATION,SEND_MESSAGE,19,1,0,True
0,5,AUTHORIZATION,SEND_MESSAGE,19,1,1,True
0,6,AUTHORIZATION,SEND_MESSAGE,16,0,0,True
0,7,AUTHORIZATION,SEND_MESSAGE,16,0,1,True
0,8,AUTHORIZATION,SEND_MESSAGE,50,0,0,True
0,9,AUTHORIZATION,SEND_MESSAGE,50,0,1,True
0,10,AUTHORIZATION,SEND_MESSAGE,22,0,0,True
0,11,AUTHORIZATION,SEND_MESSAGE,22,0,1,True
0,12,AUTHORIZATION,SEND_MESSAGE,76,0,0,True
0,13,AUTHORIZATION,SEND_MESSAGE,76,0,1,True
0,14,AUTHORIZATION,SEND_MESSAGE,27,0,0,True
0,15,AUTHORIZATION,SEND_MESSAGE,27,0,1,True
0,16,AUTHORIZATION,SEND_MESSAGE,11,1,0,True
0,17,AUTHORIZATION,SEND_MESSAGE,11,1,1,True
0,18,AUTHORIZATION,SEND_MESSAGE,4,3,0,True
0,19,AUTHORIZATION,SEND_MESSAGE,4,3,1,True
0,20,AUTHORIZATION,SEND_MESSAGE,62,1,0,True
0,21,AUTHORIZATION,SEND_MESSAGE,62,1,1,True
0,22,AUTHORIZATION,SEND_MESSAGE,15,3,0,True
0,23,AUTHORIZATION,SEND_MESSAGE,15,3,1,True
0,24,AUTHORIZATION,SEND_MESSAGE,63,0,0,True
0,25,AUTHORIZATION,SEND_MESSAGE,63,0,1,True
0,26,AUTHORIZATION,SEND_MESSAGE,78,2,0,True
0,27,AUTHORIZATION,SEND_MESSAGE,78,2,1,True
0,28,AUTHORIZATION,SEND_MESSAGE,69,0,0,True
0,29,AUTHORIZATION,SEND_MESSAGE,69,0,1,True
0,30,AUTHORIZATION,SEND_MESSAGE,81,1,0,True
0,31,AUTHORIZATION,SEND_MESSAGE,81,1,1,True
0,32,AUTHORIZATION,SEND_MESSAGE,93,2,0,True
0,33,AUTHORIZATION,SEND_MESSAGE,93,2,1,True
0,34,AUTHORIZATION,SEND_MESSAGE,83,0,0,True
0,35,AUTHORIZATION,SEND_MESSAGE,83,0,1,True
0,36,AUTHORIZATION,SEND_MESSAGE,68,2,0,True
0,37,AUTHORIZATION,SEND_MESSAGE,68,2,1,True
0,38,AUTHORIZATION,SEND_MESSAGE,14,1,0,True
0,39,AUTHORIZATION,SEND_MESSAGE,14,1,1,True
0,40,AUTHORIZATION,SEND_MESSAGE,37,2,0,True
0,41,AUTHORIZATION,SEND_MESSAGE,37,2,1,True
0,42,AUTHORIZATION,SEND_MESSAGE,67,3,0,True
0,43,AUTHORIZATION,SEND_MESSAGE,67,3,1,True
0,44,AUTHORIZATION,SEND_MESSAGE,59,2,0,True
0,45,AUTHORIZATION,SEND_MESSAGE,59,2,1,True
