run_id,task_id,family,branch,variant,runtime
runtime1-final-0000,tau2-retail-2,PROVENANCE_HISTORY,0,M2,Microsoft Agent Framework
runtime1-final-0001,tau2-retail-9,AUTHORIZATION,1,M3,Microsoft Agent Framework
runtime1-final-0002,tau2-retail-10,PROVENANCE_HISTORY,0,M2,Microsoft Agent Framework
runtime1-final-0003,tau2-retail-1,PROVENANCE_HISTORY,0,M2,Microsoft Agent Framework
runtime1-final-0004,tau2-retail-0,AUTHORIZATION,0,M3,Microsoft Agent Framework
runtime1-final-0005,tau2-retail-22,AUTHORIZATION,0,M2,Microsoft Agent Framework
runtime1-final-0006,tau2-retail-17,PROVENANCE_HISTORY,1,M2,Microsoft Agent Framework
runtime1-final-0007,tau2-retail-13,AUTHORIZATION,0,M2,Microsoft Agent Framework
runtime1-final-0008,tau2-retail-0,AUTHORIZATION,0,M2,Microsoft Agent Framework
runtime1-final-0009,agentdojo-workspace-UserTask20,AUTHORIZATION,1,M3,Microsoft Agent Framework
runtime1-final-0010,agentdojo-workspace-UserTask20,PROVENANCE_HISTORY,0,M3,Microsoft Agent Framework
runtime1-final-0011,tau2-retail-12,AUTHORIZATION,1,M2,Microsoft Agent Framework
runtime1-final-0012,tau2-retail-12,PROVENANCE_HISTORY,0,M2,Microsoft Agent Framework
runtime1-final-0013,tau2-retail-13,PROVENANCE_HISTORY,0,M2,Microsoft Agent Framework
runtime1-final-0014,tau2-retail-22,AUTHORIZATION,1,M2,Microsoft Agent Framework
runtime1-final-0015,agentdojo-workspace-UserTask7,PROVENANCE_HISTORY,0,M3,Microsoft Agent Framework
runtime1-final-0016,tau2-retail-1,PROVENANCE_HISTORY,1,M3,Microsoft Agent Framework
runtime1-final-0017,tau2-retail-23,PROVENANCE_HISTORY,1,M2,Microsoft Agent Framework
runtime1-final-0018,tau2-retail-12,AUTHORIZATION,1,M3,Microsoft Agent Framework
runtime1-final-0019,tau2-retail-17,AUTHORIZATION,0,M3,Microsoft Agent Framework
runtime1-final-0020,agentdojo-workspace-UserTask21,PROVENANCE_HISTORY,1,M3,Microsoft Agent Framework
runtime1-final-0021,agentdojo-slack-UserTask1,AUTHORIZATION,0,M2,Microsoft Agent Framework
runtime1-final-0022,tau2-retail-8,PROVENANCE_HISTORY,0,M2,Microsoft Agent Framework
runtime1-final-0023,tau2-retail-13,PROVENANCE_HISTORY,0,M2,Microsoft Agent Framework
runtime1-final-0024,tau2-retail-8,PROVENANCE_HISTORY,1,M3,Microsoft Agent Framework
runtime1-final-0025,agentdojo-workspace-UserTask25,AUTHORIZATION,1,M2,Microsoft Agent Framework
runtime1-final-0026,tau2-retail-9,PROVENANCE_HISTORY,1,M2,Microsoft Agent Framework
runtime1-final-0027,agentdojo-workspace-UserTask25,AUTHORIZATION,1,M2,Microsoft Agent Framework
runtime1-final-0028,tau2-retail-12,PROVENANCE_HISTORY,1,M3,Microsoft Agent Framework
runtime1-final-0029,tau2-retail-17,AUTHORIZATION,1,M2,Microsoft Agent Framework
