coordinate_id,task,framework,observer,role,feature_family,feature_width,selected_model,train_cv_raw_auc,train_orientation,train_distinguishability_auc,eval_auc,eval_ci95_low,eval_ci95_high,train_blocks,eval_blocks,bootstrap_resamples,post_outcome_development_diagnostic,reproduces_original_smoke_result
P10-T7-MS,T7,Microsoft Agent Framework,RELAY,RESIDUAL_FOCUS,A,1065,HIST_GRADIENT_BOOSTING,0.6177777777777778,NORMAL,0.6177777777777778,0.5333333333333333,0.3844444444444444,0.68,30,30,10000,True,
P10-T7-MS,T7,Microsoft Agent Framework,RELAY,RESIDUAL_FOCUS,B,1065,RBF_SVM,0.6077777777777779,NORMAL,0.6077777777777779,0.5211111111111111,0.37666666666666665,0.6722222222222223,30,30,10000,True,
P10-T7-MS,T7,Microsoft Agent Framework,RELAY,RESIDUAL_FOCUS,C,1065,HIST_GRADIENT_BOOSTING,0.6033333333333334,NORMAL,0.6033333333333334,0.7066666666666668,0.5722222222222222,0.8288888888888889,30,30,10000,True,
P10-T7-MS,T7,Microsoft Agent Framework,RELAY,RESIDUAL_FOCUS,D,1065,HIST_GRADIENT_BOOSTING,0.6000000000000001,NORMAL,0.6000000000000001,0.6811111111111112,0.5377777777777778,0.8088888888888889,30,30,10000,True,
P10-T7-MS,T7,Microsoft Agent Framework,RELAY,RESIDUAL_FOCUS,AB,533,HIST_GRADIENT_BOOSTING,0.6411111111111112,NORMAL,0.6411111111111112,0.6866666666666666,0.5477777777777778,0.8133333333333334,30,30,10000,True,
P10-T7-MS,T7,Microsoft Agent Framework,RELAY,RESIDUAL_FOCUS,BC,533,EXTRA_TREES,0.41000000000000003,INVERTED,0.59,0.3977777777777778,0.2577777777777778,0.5422222222222223,30,30,10000,True,
P10-T7-MS,T7,Microsoft Agent Framework,RELAY,RESIDUAL_FOCUS,CD,533,EXTRA_TREES,0.5155555555555555,NORMAL,0.5155555555555555,0.5266666666666666,0.36777777777777776,0.6888888888888889,30,30,10000,True,
P10-T7-MS,T7,Microsoft Agent Framework,RELAY,RESIDUAL_FOCUS,REQUEST_SIDE,2663,HIST_GRADIENT_BOOSTING,0.6933333333333334,NORMAL,0.6933333333333334,0.47555555555555556,0.3388888888888889,0.6089166666666663,30,30,10000,True,
P10-T7-MS,T7,Microsoft Agent Framework,RELAY,RESIDUAL_FOCUS,RESPONSE_SIDE,2663,RBF_SVM,0.5633333333333334,NORMAL,0.5633333333333334,0.5077777777777778,0.39111111111111113,0.6272222222222222,30,30,10000,True,
P10-T7-MS,T7,Microsoft Agent Framework,RELAY,RESIDUAL_FOCUS,ALL,5860,HIST_GRADIENT_BOOSTING,0.7066666666666667,NORMAL,0.7066666666666667,0.6711111111111111,0.5366666666666666,0.7911111111111111,30,30,10000,True,True
