episode_token,family,label,real_actions,real_heavy_ops
427708563240025833,TOOL_SEQUENCE,TSEQ2,100,100
5969967164684184611,TOOL_SEQUENCE,TSEQ3,100,100
8243859470491903481,TOOL_SEQUENCE,TSEQ0,100,100
1680522856702045481,TOOL_SEQUENCE,TSEQ4,100,100
2239835328666027239,TOOL_SEQUENCE,TSEQ1,100,100
6820506963412836213,TOOL_SEQUENCE,TSEQ1,100,100
5803470069505432887,TOOL_SEQUENCE,TSEQ2,100,100
942153966940000879,TOOL_SEQUENCE,TSEQ1,100,100
6199047492458055885,TOOL_SEQUENCE,TSEQ0,100,100
8132551656409263929,TOOL_SEQUENCE,TSEQ0,100,100
2407810938105951077,TOOL_SEQUENCE,TSEQ2,100,100
2285912188270693653,TOOL_SEQUENCE,TSEQ3,100,100
8141499866546923591,TOOL_SEQUENCE,TSEQ2,100,100
2049335304248807389,TOOL_SEQUENCE,TSEQ1,100,100
8973547326428624503,TOOL_SEQUENCE,TSEQ4,100,100
920979535121849019,TOOL_SEQUENCE,TSEQ1,100,100
2917714986981764191,TOOL_SEQUENCE,TSEQ0,100,100
3225697592336790883,TOOL_SEQUENCE,TSEQ2,100,100
8269633190117789217,TOOL_SEQUENCE,TSEQ0,100,100
5748027322124768939,TOOL_SEQUENCE,TSEQ4,100,100
7455472581368375459,TOOL_SEQUENCE,TSEQ0,100,100
5273117238830254231,TOOL_SEQUENCE,TSEQ3,100,100
6258881654404143971,TOOL_SEQUENCE,TSEQ4,100,100
5891955080360266331,TOOL_SEQUENCE,TSEQ4,100,100
4066121312542547585,TOOL_SEQUENCE,TSEQ3,100,100
591741299573694861,TOOL_SEQUENCE,TSEQ3,100,100
4335094840584763501,TOOL_SEQUENCE,TSEQ1,100,100
6819551249815854937,TOOL_SEQUENCE,TSEQ3,100,100
2964531956364893083,TOOL_SEQUENCE,TSEQ2,100,100
219036151458478053,TOOL_SEQUENCE,TSEQ4,100,100
